time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:fileDeletionBacklog,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:cursorDelete,Op:cursorGetCurrent,Op:cursorGetFirst,Op:cursorGetLast,Op:cursorGetNext,Op:cursorGetNextDup,Op:cursorGetNextNoDup,Op:cursorGetPrev,Op:cursorGetPrevDup,Op:cursorGetPrevNoDup,Op:cursorPut,Op:cursorPutCurrent,Op:cursorPutNoDupData,Op:cursorPutNoOverwrite,Op:dbDelete,Op:dbGet,Op:dbGetSearchBoth,Op:dbPut,Op:dbPutNoDupData,Op:dbPutNoOverWrite,Op:dbRemoveSequence,Op:dosCursorGetNext,Op:nBinDeltaDeleteOps,Op:nBinDeltaGetOps,Op:nBinDeltaInsertOps,Op:nBinDeltaUpdateOps,Op:secondaryCursorDelete,Op:secondaryCursorGetCurrent,Op:secondaryCursorGetFirst,Op:secondaryCursorGetLast,Op:secondaryCursorGetNext,Op:secondaryCursorGetNextDup,Op:secondaryCursorGetNextNoDup,Op:secondaryCursorGetPrev,Op:secondaryCursorGetPrevDup,Op:secondaryCursorGetPrevNoDup,Op:secondaryDbDelete,Op:secondaryDbGet,Op:secondaryDbGetSearchBoth
2017-12-05 03:19:29.930 UTC, ,125,3158477,824,12624, , ,3, ,4, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1075,1,467,467,1, ,2,4, ,49,49, , , , , ,1,10, , , , , , , , , , , , , , , , , , , , , , , , ,1512443969104,3145728, , , , ,2,3,5,3,3,3, , ,3,4, , , , , , , ,38,1, , ,12288,3,1085,3, , , , , , ,1,12,15447808,-1, , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-12-05 03:19:29.937 UTC, ,125,3159645,952,13792, , ,3, ,2, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1075,1,467,467, , , , , ,49,49, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1512443969104,3145728, , , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,15651680,-1, , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-12-05 03:26:14.045 UTC, ,125,3157813,824,11960, , ,3, ,18,3,0.17, , , , , , , ,3,3, ,2, ,2,1,5, ,17,8, , , , , , , , , , , , , ,1961,2, ,1246, , , , , ,37,37, , , , , ,1,31, , , , , , , , , , , , , , , , , , , , , , , , ,1512444373018,3145728, , , ,15,0, , , ,2, , , ,3, , , , ,15, ,2048,1, , , , ,114688,26, , , , , , , , ,1,15,17374864,-1, , , , , , ,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-12-05 03:26:14.054 UTC, ,125,3158957,952,13104, , ,3, ,1, , , , , , , , , ,3,3, , , ,2,1,5, ,1,1, , , , , , , , , , , , , ,1961,2, ,1246, , , , , ,37,37, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1512444373018,3145728, , , ,2,0, , , ,1, , , ,3, , , , ,2,1, , , , , , ,6144,3, , , , , , , , , , ,17570528,-1, , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-12-05 03:26:14.158 UTC, ,125,3158029,824,11960,216, ,3, ,19,3,0.16, , , , , , , ,3,3, ,2, ,2,1,5, ,18,9, , , , , , , , , , , , , ,1961,2, ,1246, , , , , ,-1,-1, , , , , ,1,31, , , , , , , , , , , , , , , , , , , , , , , , ,1512444374073,3145728, , , ,16,0, , , ,3, , , ,3, , , , ,16,1,2048,1, , , , ,120832,29, , , , , , , , ,1,15,23576824,-1, , , , , , ,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-12-05 03:26:14.174 UTC, ,125,3162085,1056,16232, , ,4, , , , , , , , , , , ,4,4, , , ,2,1,7, , , , , , , , , , , , , , , , ,1961,2, ,1246, , , , , ,37,37, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1512444374073,3145728, , , ,1,0, , , , , , , ,3, , , , ,1,1, , , , , , , , , , , , , , , , , , ,24098704,-1, , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-12-05 03:26:22.431 UTC, ,125,3159165,1056,13232,80, ,3, ,23,3,0.13, , , , , , , ,3,3, ,2, ,2,1,5, ,22,9, , , , , , , , , , , , , ,2815,3, ,2318, , , , , ,-1,-1, , , , , ,1,42, , , , , , , , , , , , , , , , , , , , , , , , ,1512444382348,3145728, , , ,17,0, , , ,3, , , ,3, , , , ,17,1,2048,1, , , , ,118784,28, , , , , , , , ,2,27,23092128,-1, , , , , , ,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-12-05 03:26:22.444 UTC, ,125,3161677,1056,15824, , ,4, ,2,1,0.50, , , , , , , ,4,4, , , ,4,1,7, ,3,2, , , , , , , , , , , , , ,2815,3, ,2318, , , , , ,37,37, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1512444382348,3145728, , , ,4,0, , , , , , , ,3, , , , ,4,1, , , , , , ,10240,5, , , , , , , , , , ,23287792,-1, , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-12-05 03:26:22.511 UTC, ,125,3159221,1056,13232,136, ,3, ,23,3,0.13, , , , , , , ,3,3, ,2, ,2,1,5, ,23,10, , , , , , , , , , , , , ,2815,3, ,2318, , , , , ,-1,-1, , , , , ,1,42, , , , , , , , , , , , , , , , , , , , , , , , ,1512444382455,3145728, , , ,18,0, , , ,3, , , ,3, , , , ,18,1,2048,1, , , , ,122880,30, , , , , , , , ,2,27,29297640,-1, , , , , , ,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-12-05 03:26:22.516 UTC, ,125,3161677,1056,15824, , ,4, ,2,1,0.50, , , , , , , ,4,4, , , ,4,1,7, ,2,1, , , , , , , , , , , , , ,2815,3, ,2318, , , , , ,37,37, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1512444382455,3145728, , , ,3,0, , , , , , , ,3, , , , ,3,1, , , , , , ,6144,3, , , , , , , , , , ,29493328,-1, , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
